symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome,signal_id,entry_notional_usd,risk_to_stop_usd
EEM,MeanReversion_D1,2025-05-28T00:00:00-04:00,2025-05-29T00:00:00-04:00,46.32,45.87,47.22,2025-05-30T00:00:00-04:00,45.87,SL hit,-1.0,loss,EEM_MeanReversion_D1_1,46.32,0.45000000000000284
EEM,MeanReversion_D1,2025-05-30T00:00:00-04:00,2025-06-02T00:00:00-04:00,45.69,45.24,46.59,2025-06-05T00:00:00-04:00,46.59,TP hit,2.0,win,EEM_MeanReversion_D1_3,45.69,0.44999999999999574
EEM,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16T00:00:00-04:00,47.18,46.98,47.58,2025-06-17T00:00:00-04:00,46.98,SL hit,-1.0,loss,EEM_MeanReversion_D1_13,47.18,0.20000000000000284
EEM,MeanReversion_D1,2025-06-17T00:00:00-04:00,2025-06-18T00:00:00-04:00,46.62,46.54,46.78,2025-06-18T00:00:00-04:00,46.54,SL hit,-1.0,loss,EEM_MeanReversion_D1_15,46.62,0.0799999999999983
EEM,MeanReversion_D1,2025-07-07T00:00:00-04:00,2025-07-08T00:00:00-04:00,48.37,47.96,49.19,2025-07-14T00:00:00-04:00,48.34,time stop loss,-0.0732,loss,EEM_MeanReversion_D1_27,48.37,0.4099999999999966
EEM,MeanReversion_D1,2025-07-28T00:00:00-04:00,2025-07-29T00:00:00-04:00,49.29,49.095,49.68,2025-07-30T00:00:00-04:00,49.095,SL hit,-1.0,loss,EEM_MeanReversion_D1_42,49.29,0.19500000000000028
EEM,MeanReversion_D1,2025-08-01T00:00:00-04:00,2025-08-04T00:00:00-04:00,48.735,47.99,50.225,2025-08-08T00:00:00-04:00,49.43,time stop win,0.9329,win,EEM_MeanReversion_D1_46,48.735,0.7449999999999974
EEM,MeanReversion_D1,2025-08-14T00:00:00-04:00,2025-08-15T00:00:00-04:00,50.03,49.74,50.61,2025-08-20T00:00:00-04:00,49.74,SL hit,-1.0,loss,EEM_MeanReversion_D1_55,50.03,0.28999999999999915
EEM,MeanReversion_D1,2025-08-20T00:00:00-04:00,2025-08-21T00:00:00-04:00,49.58,49.45,49.84,2025-08-22T00:00:00-04:00,49.84,TP hit,2.0,win,EEM_MeanReversion_D1_59,49.58,0.12999999999999545
EEM,MeanReversion_D1,2025-08-27T00:00:00-04:00,2025-08-28T00:00:00-04:00,49.86,49.595,50.39,2025-09-02T00:00:00-04:00,49.595,SL hit,-1.0,loss,EEM_MeanReversion_D1_64,49.86,0.26500000000000057
EEM,MeanReversion_D1,2025-09-04T00:00:00-04:00,2025-09-05T00:00:00-04:00,50.54,49.54,52.54,2025-09-11T00:00:00-04:00,52.27,time stop win,1.73,win,EEM_MeanReversion_D1_69,50.54,1.0
EEM,MeanReversion_D1,2025-10-07T00:00:00-04:00,2025-10-08T00:00:00-04:00,54.13,54.025,54.34,2025-10-08T00:00:00-04:00,54.34,TP hit,2.0,win,EEM_MeanReversion_D1_92,54.13,0.10500000000000398
