symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XBI,TwoDayBreakout_D1,2025-10-08T00:00:00-04:00,2025-10-09T00:00:00-04:00,105.82,102.56,112.34,2025-10-15T00:00:00-04:00,108.375,time stop win,0.7837,win
XBI,TwoDayBreakout_D1,2025-10-09T00:00:00-04:00,2025-10-10T00:00:00-04:00,107.005,102.56,115.895,2025-10-16T00:00:00-04:00,107.91,time stop win,0.2036,win
XBI,TwoDayBreakout_D1,2025-10-15T00:00:00-04:00,2025-10-16T00:00:00-04:00,109.76,103.44,122.4,2025-10-22T00:00:00-04:00,107.26,time stop loss,-0.3956,loss
XBI,TwoDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,111.41,106.5,121.23,2025-11-03T00:00:00-05:00,109.85,time stop loss,-0.3177,loss
XBI,TwoDayBreakout_D1,2025-10-28T00:00:00-04:00,2025-10-29T00:00:00-04:00,111.85,108.08,119.39,2025-11-03T00:00:00-05:00,108.08,SL hit,-1.0,loss
XBI,TwoDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,109.83,106.31,116.87,2025-11-17T00:00:00-05:00,114.81,time stop win,1.4148,win
XBI,TwoDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,113.655,106.31,128.345,2025-11-18T00:00:00-05:00,115.18,time stop win,0.2076,win
XBI,TwoDayBreakout_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,119.84,113.63,132.26,2025-12-02T00:00:00-05:00,118.455,time stop loss,-0.223,loss
XBI,TwoDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,121.475,113.63,137.165,2025-12-03T00:00:00-05:00,121.83,time stop win,0.0453,win
XBI,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,123.105,117.13,135.055,2025-12-04T00:00:00-05:00,123.285,time stop win,0.0301,win
XBI,TwoDayBreakout_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,123.74,117.73,135.76,2025-12-11T00:00:00-05:00,123.03,time stop loss,-0.1181,loss
XBI,TwoDayBreakout_D1,2025-12-19T00:00:00-05:00,2025-12-22T00:00:00-05:00,123.33,119.6,130.79,2025-12-29T00:00:00-05:00,123.44,time stop win,0.0295,win
XBI,TwoDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,125.405,119.6,137.015,2025-12-30T00:00:00-05:00,121.67,time stop loss,-0.6434,loss
XBI,TwoDayBreakout_D1,2026-01-07T00:00:00-05:00,2026-01-08T00:00:00-05:00,124.89,118.315,138.04,2026-01-14T00:00:00-05:00,126.85,time stop win,0.2981,win
XBI,TwoDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,126.785,121.6,137.155,2026-01-20T00:00:00-05:00,121.6,SL hit,-1.0,loss
XBI,TwoDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,128.68,121.28,143.48,2026-01-28T00:00:00-05:00,125.94,time stop loss,-0.3703,loss
XBI,TwoDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,130.885,121.28,150.095,2026-01-29T00:00:00-05:00,126.74,time stop loss,-0.4315,loss
XBI,TwoDayBreakout_D1,2026-02-02T00:00:00-05:00,2026-02-03T00:00:00-05:00,127.27,123.825,134.16,2026-02-04T00:00:00-05:00,123.825,SL hit,-1.0,loss
XBI,TwoDayBreakout_D1,2026-02-03T00:00:00-05:00,2026-02-04T00:00:00-05:00,128.04,123.825,136.47,2026-02-04T00:00:00-05:00,123.825,SL hit,-1.0,loss
