symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
KRE,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,66.43,64.06,71.17,2026-01-12T00:00:00-05:00,66.67,time stop win,0.1013,win
KRE,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,67.21,65.02,71.59,2026-01-13T00:00:00-05:00,66.245,time stop loss,-0.4406,loss
KRE,PrevDayBreakout_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,68.23,66.22,72.25,2026-01-13T00:00:00-05:00,66.22,SL hit,-1.0,loss
KRE,PrevDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,68.15,65.86,72.73,2026-01-23T00:00:00-05:00,67.62,time stop loss,-0.2314,loss
KRE,PrevDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,70.115,66.735,76.875,2026-01-28T00:00:00-05:00,67.79,time stop loss,-0.6879,loss
KRE,PrevDayBreakout_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,68.7,67.66,70.78,2026-02-03T00:00:00-05:00,70.78,TP hit,2.0,win
KRE,PrevDayBreakout_D1,2026-02-02T00:00:00-05:00,2026-02-03T00:00:00-05:00,69.96,68.165,73.55,2026-02-06T00:00:00-05:00,73.55,TP hit,2.0,win
KRE,PrevDayBreakout_D1,2026-02-03T00:00:00-05:00,2026-02-04T00:00:00-05:00,71.84,68.6,78.32,2026-02-10T00:00:00-05:00,72.64,time stop win,0.2469,win
KRE,PrevDayBreakout_D1,2026-02-04T00:00:00-05:00,2026-02-05T00:00:00-05:00,72.03,69.94,76.21,2026-02-11T00:00:00-05:00,71.805,time stop loss,-0.1077,loss
KRE,PrevDayBreakout_D1,2026-02-06T00:00:00-05:00,2026-02-09T00:00:00-05:00,73.305,71.555,76.805,2026-02-11T00:00:00-05:00,71.555,SL hit,-1.0,loss
