symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XLI,MeanReversion_D1,2025-06-05T00:00:00-04:00,2025-06-06T00:00:00-04:00,145.0,143.17,148.66,2025-06-11T00:00:00-04:00,143.17,SL hit,-1.0,loss
XLI,MeanReversion_D1,2025-06-10T00:00:00-04:00,2025-06-11T00:00:00-04:00,144.255,143.415,145.935,2025-06-11T00:00:00-04:00,143.415,SL hit,-1.0,loss
XLI,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16T00:00:00-04:00,143.545,142.23,146.175,2025-06-18T00:00:00-04:00,142.23,SL hit,-1.0,loss
XLI,MeanReversion_D1,2025-06-17T00:00:00-04:00,2025-06-18T00:00:00-04:00,142.605,142.36,143.095,2025-06-18T00:00:00-04:00,142.36,SL hit,-1.0,loss
XLI,MeanReversion_D1,2025-06-18T00:00:00-04:00,2025-06-20T00:00:00-04:00,143.08,142.12,145.0,2025-06-20T00:00:00-04:00,142.12,SL hit,-1.0,loss
XLI,MeanReversion_D1,2025-06-25T00:00:00-04:00,2025-06-26T00:00:00-04:00,144.415,143.475,146.295,2025-06-27T00:00:00-04:00,146.295,TP hit,2.0,win
XLI,MeanReversion_D1,2025-07-15T00:00:00-04:00,2025-07-16T00:00:00-04:00,150.25,149.87,151.01,2025-07-16T00:00:00-04:00,149.87,SL hit,-1.0,loss
XLI,MeanReversion_D1,2025-07-29T00:00:00-04:00,2025-07-30T00:00:00-04:00,152.45,152.26,152.83,2025-07-30T00:00:00-04:00,152.26,SL hit,-1.0,loss
XLI,MeanReversion_D1,2025-07-30T00:00:00-04:00,2025-07-31T00:00:00-04:00,151.68,151.305,152.43,2025-07-31T00:00:00-04:00,152.43,TP hit,2.0,win
XLI,MeanReversion_D1,2025-08-01T00:00:00-04:00,2025-08-04T00:00:00-04:00,150.17,148.17,154.17,2025-08-08T00:00:00-04:00,150.74,time stop win,0.285,win
XLI,MeanReversion_D1,2025-08-11T00:00:00-04:00,2025-08-12T00:00:00-04:00,150.86,149.98,152.62,2025-08-18T00:00:00-04:00,151.06,time stop win,0.2273,win
XLI,MeanReversion_D1,2025-08-15T00:00:00-04:00,2025-08-18T00:00:00-04:00,150.38,150.34,150.46,2025-08-18T00:00:00-04:00,150.34,SL hit,-1.0,loss
XLI,MeanReversion_D1,2025-09-02T00:00:00-04:00,2025-09-03T00:00:00-04:00,150.37,149.64,151.83,2025-09-03T00:00:00-04:00,149.64,SL hit,-1.0,loss
XLI,MeanReversion_D1,2025-09-17T00:00:00-04:00,2025-09-18T00:00:00-04:00,151.47,150.2,154.01,2025-09-23T00:00:00-04:00,154.01,TP hit,2.0,win
XLI,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,152.16,150.62,155.24,2025-10-02T00:00:00-04:00,154.18,time stop win,1.3117,win
XLI,MeanReversion_D1,2025-10-09T00:00:00-04:00,2025-10-10T00:00:00-04:00,153.69,153.085,154.9,2025-10-10T00:00:00-04:00,153.085,SL hit,-1.0,loss
XLI,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,151.0,149.9,153.2,2025-10-14T00:00:00-04:00,153.2,TP hit,2.0,win
XLI,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,153.46,152.45,155.48,2025-10-24T00:00:00-04:00,155.48,TP hit,2.0,win
XLI,MeanReversion_D1,2025-10-28T00:00:00-04:00,2025-10-29T00:00:00-04:00,154.885,154.66,155.335,2025-10-29T00:00:00-04:00,154.66,SL hit,-1.0,loss
XLI,MeanReversion_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,152.09,151.81,152.65,2025-11-05T00:00:00-05:00,152.65,TP hit,2.0,win
XLI,MeanReversion_D1,2025-11-18T00:00:00-05:00,2025-11-19T00:00:00-05:00,150.025,149.1,151.875,2025-11-20T00:00:00-05:00,149.1,SL hit,-1.0,loss
XLI,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,148.365,147.72,149.655,2025-11-21T00:00:00-05:00,147.72,SL hit,-1.0,loss
XLI,MeanReversion_D1,2025-12-01T00:00:00-05:00,2025-12-02T00:00:00-05:00,152.3,151.37,154.16,2025-12-03T00:00:00-05:00,154.16,TP hit,2.0,win
XLI,MeanReversion_D1,2025-12-09T00:00:00-05:00,2025-12-10T00:00:00-05:00,153.97,153.195,155.52,2025-12-10T00:00:00-05:00,155.52,TP hit,2.0,win
XLI,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,155.7,155.41,156.28,2025-12-17T00:00:00-05:00,155.41,SL hit,-1.0,loss
XLI,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,154.95,153.37,158.11,2025-12-24T00:00:00-05:00,157.48,time stop win,1.6013,win
