signal_id,symbol,setup_name,entry_ts,exit_ts,entry_price,stop_price,r_multiple,rank_score,skip_reason,open_slots,open_exposure_usd,open_risk_usd,entry_notional_usd,risk_to_stop_usd
KRE_PrevDayBreakout_D1_1,KRE,PrevDayBreakout_D1,2025-06-04 04:00:00+00:00,2025-06-10 04:00:00+00:00,57.33,55.61,0.9331,0.0,no_slot,3,313.49,8.54,57.33,1.72
SMH_PrevDayBreakout_D1_1,SMH,PrevDayBreakout_D1,2025-06-04 04:00:00+00:00,2025-06-10 04:00:00+00:00,250.75,239.175,0.9832,0.0,no_slot,3,313.49,8.54,250.75,11.575
XLU_PrevDayBreakout_D1_1,XLU,PrevDayBreakout_D1,2025-06-04 04:00:00+00:00,2025-06-04 04:00:00+00:00,82.215,81.245,-1.0,0.0,no_slot,3,313.49,8.54,82.215,0.97
XLV_PrevDayBreakout_D1_1,XLV,PrevDayBreakout_D1,2025-06-04 04:00:00+00:00,2025-06-10 04:00:00+00:00,133.44,131.11,0.9721,0.0,no_slot,3,313.49,8.54,133.44,2.33
XME_PrevDayBreakout_D1_1,XME,PrevDayBreakout_D1,2025-06-04 04:00:00+00:00,2025-06-10 04:00:00+00:00,63.53,61.64,0.6931,0.0,no_slot,3,313.49,8.54,63.53,1.89
EEM_PrevDayBreakout_D1_2,EEM,PrevDayBreakout_D1,2025-06-05 04:00:00+00:00,2025-06-11 04:00:00+00:00,46.925,45.76,0.7597,0.0,no_slot,3,313.49,8.54,46.925,1.165
EEM_TwoDayBreakout_D1_2,EEM,TwoDayBreakout_D1,2025-06-05 04:00:00+00:00,2025-06-11 04:00:00+00:00,46.925,45.53,0.6344,0.0,no_slot,3,313.49,8.54,46.925,1.395
IEMG_PrevDayBreakout_D1_2,IEMG,PrevDayBreakout_D1,2025-06-05 04:00:00+00:00,2025-06-11 04:00:00+00:00,58.36,57.06,0.9538,0.0,no_slot,3,313.49,8.54,58.36,1.3
IEMG_TwoDayBreakout_D1_2,IEMG,TwoDayBreakout_D1,2025-06-05 04:00:00+00:00,2025-06-11 04:00:00+00:00,58.36,56.75,0.7702,0.0,no_slot,3,313.49,8.54,58.36,1.61
SMH_PrevDayBreakout_D1_2,SMH,PrevDayBreakout_D1,2025-06-05 04:00:00+00:00,2025-06-11 04:00:00+00:00,254.4,242.68,0.6305,0.0,no_slot,3,313.49,8.54,254.4,11.72
SMH_TwoDayBreakout_D1_2,SMH,TwoDayBreakout_D1,2025-06-05 04:00:00+00:00,2025-06-11 04:00:00+00:00,254.4,239.175,0.4854,0.0,no_slot,3,313.49,8.54,254.4,15.225
XAR_TwoDayBreakout_D1_2,XAR,TwoDayBreakout_D1,2025-06-05 04:00:00+00:00,2025-06-11 04:00:00+00:00,195.415,191.09,0.8035,0.0,no_slot,3,313.49,8.54,195.415,4.325
XME_PrevDayBreakout_D1_2,XME,PrevDayBreakout_D1,2025-06-05 04:00:00+00:00,2025-06-11 04:00:00+00:00,65.02,61.435,-0.1869,0.0,no_slot,3,313.49,8.54,65.02,3.585
