signal_id,symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,outcome,r_multiple,qty,entry_notional_usd,risk_to_stop_usd,rank_score
EEM_PrevDayBreakout_D1_1,EEM,PrevDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11 04:00:00+00:00,47.83,47.115,49.26,2025-06-13 04:00:00+00:00,47.115,SL hit,loss,-1.0,1.0,47.83,0.715,0.0
XLP_TwoDayBreakout_D1_3,XLP,TwoDayBreakout_D1,2025-06-12T00:00:00-04:00,2025-06-13 04:00:00+00:00,81.755,81.205,82.855,2025-06-13 04:00:00+00:00,81.205,SL hit,loss,-1.0,1.0,81.755,0.55,0.0
XME_PrevDayBreakout_D1_4,XME,PrevDayBreakout_D1,2025-06-13T00:00:00-04:00,2025-06-16 04:00:00+00:00,66.22,63.79,71.08,2025-06-23 04:00:00+00:00,66.22,time stop scratch,scratch,0.0,1.0,66.22,2.43,2.0
XAR_TwoDayBreakout_D1_8,XAR,TwoDayBreakout_D1,2025-06-20T00:00:00-04:00,2025-06-23 04:00:00+00:00,201.21,196.8,210.03,2025-06-27 04:00:00+00:00,210.03,TP hit,win,2.0,1.0,201.21,4.41,0.0
KRE_PrevDayBreakout_D1_12,KRE,PrevDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27 04:00:00+00:00,59.68,57.87,63.3,2025-07-03 04:00:00+00:00,63.3,TP hit,win,2.0,1.0,59.68,1.81,1.0
KRE_PrevDayBreakout_D1_16,KRE,PrevDayBreakout_D1,2025-07-02T00:00:00-04:00,2025-07-03 04:00:00+00:00,62.855,59.09,70.385,2025-07-10 04:00:00+00:00,63.55,time stop win,win,0.1846,1.0,62.855,3.765,1.00924
XLI_TwoDayBreakout_D1_20,XLI,TwoDayBreakout_D1,2025-07-09T00:00:00-04:00,2025-07-10 04:00:00+00:00,150.135,147.89,154.625,2025-07-16 04:00:00+00:00,150.415,time stop win,win,0.1247,1.0,150.135,2.245,0.9122
VTV_MeanReversion_D1_24,VTV,MeanReversion_D1,2025-07-15T00:00:00-04:00,2025-07-16 04:00:00+00:00,176.635,176.185,177.535,2025-07-16 04:00:00+00:00,176.185,SL hit,loss,-1.0,1.0,176.635,0.45,2.0
XAR_TwoDayBreakout_D1_25,XAR,TwoDayBreakout_D1,2025-07-16T00:00:00-04:00,2025-07-17 04:00:00+00:00,219.47,211.635,235.14,2025-07-23 04:00:00+00:00,221.06,time stop win,win,0.2029,1.0,219.47,7.835,1.032529
XME_PrevDayBreakout_D1_29,XME,PrevDayBreakout_D1,2025-07-22T00:00:00-04:00,2025-07-23 04:00:00+00:00,78.54,75.89,83.84,2025-07-28 04:00:00+00:00,75.89,SL hit,loss,-1.0,1.0,78.54,2.65,0.802933
XLI_TwoDayBreakout_D1_32,XLI,TwoDayBreakout_D1,2025-07-25T00:00:00-04:00,2025-07-28 04:00:00+00:00,154.92,152.105,160.55,2025-07-30 04:00:00+00:00,152.105,SL hit,loss,-1.0,1.0,154.92,2.815,0.71234
SMH_PrevDayBreakout_D1_34,SMH,PrevDayBreakout_D1,2025-07-29T00:00:00-04:00,2025-07-30 04:00:00+00:00,294.62,289.37,305.12,2025-07-31 04:00:00+00:00,289.37,SL hit,loss,-1.0,1.0,294.62,5.25,0.237154
VTV_MeanReversion_D1_35,VTV,MeanReversion_D1,2025-07-30T00:00:00-04:00,2025-07-31 04:00:00+00:00,178.29,177.865,179.14,2025-07-31 04:00:00+00:00,177.865,SL hit,loss,-1.0,1.0,178.29,0.425,1.4
XLV_MeanReversion_D1_36,XLV,MeanReversion_D1,2025-07-31T00:00:00-04:00,2025-08-01 04:00:00+00:00,130.655,129.99,131.985,2025-08-01 04:00:00+00:00,129.99,SL hit,loss,-1.0,1.0,130.655,0.665,-0.061322
VTV_MeanReversion_D1_37,VTV,MeanReversion_D1,2025-08-01T00:00:00-04:00,2025-08-04 04:00:00+00:00,176.21,174.41,179.81,2025-08-08 04:00:00+00:00,177.92,time stop win,win,0.95,1.0,176.21,1.8,1.0
EEM_PrevDayBreakout_D1_41,EEM,PrevDayBreakout_D1,2025-08-07T00:00:00-04:00,2025-08-08 04:00:00+00:00,49.33,48.8,50.39,2025-08-13 04:00:00+00:00,50.39,TP hit,win,2.0,1.0,49.33,0.53,0.579407
XAR_TwoDayBreakout_D1_44,XAR,TwoDayBreakout_D1,2025-08-12T00:00:00-04:00,2025-08-13 04:00:00+00:00,220.675,214.57,232.885,2025-08-15 04:00:00+00:00,214.57,SL hit,loss,-1.0,1.0,220.675,6.105,0.747429
IEMG_MeanReversion_D1_46,IEMG,MeanReversion_D1,2025-08-14T00:00:00-04:00,2025-08-15 04:00:00+00:00,62.19,61.805,62.96,2025-08-20 04:00:00+00:00,61.805,SL hit,loss,-1.0,1.0,62.19,0.385,-0.148986
XLI_TwoDayBreakout_D1_49,XLI,TwoDayBreakout_D1,2025-08-19T00:00:00-04:00,2025-08-20 04:00:00+00:00,151.16,150.3,152.88,2025-08-20 04:00:00+00:00,150.3,SL hit,loss,-1.0,1.0,151.16,0.86,0.410208
QQQ_MeanReversion_D1_50,QQQ,MeanReversion_D1,2025-08-20T00:00:00-04:00,2025-08-21 04:00:00+00:00,564.35,558.9,575.25,2025-08-27 04:00:00+00:00,573.55,time stop win,win,1.6881,1.0,564.35,5.45,0.197044
XAR_TwoDayBreakout_D1_54,XAR,TwoDayBreakout_D1,2025-08-26T00:00:00-04:00,2025-08-27 04:00:00+00:00,220.51,215.06,231.41,2025-09-03 04:00:00+00:00,215.06,SL hit,loss,-1.0,1.0,220.51,5.45,0.529
VTV_MeanReversion_D1_58,VTV,MeanReversion_D1,2025-09-02T00:00:00-04:00,2025-09-03 04:00:00+00:00,181.92,181.125,183.51,2025-09-03 04:00:00+00:00,181.125,SL hit,loss,-1.0,1.0,181.92,0.795,0.992857
IEMG_PrevDayBreakout_D1_59,IEMG,PrevDayBreakout_D1,2025-09-03T00:00:00-04:00,2025-09-04 04:00:00+00:00,61.855,61.405,62.755,2025-09-05 04:00:00+00:00,62.755,TP hit,win,2.0,1.0,61.855,0.45,0.497155
KRE_PrevDayBreakout_D1_60,KRE,PrevDayBreakout_D1,2025-09-04T00:00:00-04:00,2025-09-05 04:00:00+00:00,66.34,64.49,70.04,2025-09-11 04:00:00+00:00,65.19,time stop loss,loss,-0.6216,1.0,66.34,1.85,0.296963
EEM_PrevDayBreakout_D1_64,EEM,PrevDayBreakout_D1,2025-09-10T00:00:00-04:00,2025-09-11 04:00:00+00:00,51.895,51.1,53.485,2025-09-17 04:00:00+00:00,53.485,TP hit,win,2.0,1.0,51.895,0.795,0.5523
IWD_MeanReversion_D1_68,IWD,MeanReversion_D1,2025-09-16T00:00:00-04:00,2025-09-17 04:00:00+00:00,201.95,200.99,203.87,2025-09-17 04:00:00+00:00,200.99,SL hit,loss,-1.0,1.0,201.95,0.96,0.744556
IEMG_PrevDayBreakout_D1_69,IEMG,PrevDayBreakout_D1,2025-09-17T00:00:00-04:00,2025-09-18 04:00:00+00:00,65.66,65.41,66.16,2025-09-23 04:00:00+00:00,66.16,TP hit,win,2.0,1.0,65.66,0.25,0.81458
