symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
SMH,PrevDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,408.29,389.54,445.79,2026-01-28T00:00:00-05:00,416.61,time stop win,0.4437,win
SMH,PrevDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,414.87,396.715,451.18,2026-02-03T00:00:00-05:00,396.715,SL hit,-1.0,loss
SMH,PrevDayBreakout_D1,2026-01-28T00:00:00-05:00,2026-01-29T00:00:00-05:00,417.455,402.28,447.805,2026-01-30T00:00:00-05:00,402.28,SL hit,-1.0,loss
SMH,PrevDayBreakout_D1,2026-02-06T00:00:00-05:00,2026-02-09T00:00:00-05:00,398.74,375.64,444.94,2026-02-13T00:00:00-05:00,407.63,time stop win,0.3848,win
SMH,PrevDayBreakout_D1,2026-02-09T00:00:00-05:00,2026-02-10T00:00:00-05:00,407.81,387.455,448.52,2026-02-17T00:00:00-05:00,407.395,time stop loss,-0.0204,loss
SMH,PrevDayBreakout_D1,2026-02-11T00:00:00-05:00,2026-02-12T00:00:00-05:00,418.05,401.91,450.33,2026-02-17T00:00:00-05:00,401.91,SL hit,-1.0,loss
SMH,PrevDayBreakout_D1,2026-02-18T00:00:00-05:00,2026-02-19T00:00:00-05:00,408.715,398.06,430.025,2026-02-25T00:00:00-05:00,426.16,time stop win,1.6373,win
SMH,PrevDayBreakout_D1,2026-02-20T00:00:00-05:00,2026-02-23T00:00:00-05:00,413.645,405.64,429.655,2026-02-26T00:00:00-05:00,405.64,SL hit,-1.0,loss
SMH,PrevDayBreakout_D1,2026-02-24T00:00:00-05:00,2026-02-25T00:00:00-05:00,424.345,409.36,454.315,2026-02-26T00:00:00-05:00,409.36,SL hit,-1.0,loss
SMH,PrevDayBreakout_D1,2026-02-25T00:00:00-05:00,2026-02-26T00:00:00-05:00,423.55,411.86,446.93,2026-02-26T00:00:00-05:00,411.86,SL hit,-1.0,loss
