signal_id,symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,outcome,r_multiple,qty,entry_notional_usd,risk_to_stop_usd,rank_score
XLU_PrevDayBreakout_D1_1,XLU,PrevDayBreakout_D1,2025-06-12T00:00:00-04:00,2025-06-13 04:00:00+00:00,81.745,80.67,83.895,2025-06-16 04:00:00+00:00,80.67,SL hit,loss,-1.0,1.0,81.745,1.075,0.0
XLV_PrevDayBreakout_D1_1,XLV,PrevDayBreakout_D1,2025-06-12T00:00:00-04:00,2025-06-13 04:00:00+00:00,136.055,135.345,137.475,2025-06-16 04:00:00+00:00,135.345,SL hit,loss,-1.0,1.0,136.055,0.71,0.0
XME_PrevDayBreakout_D1_1,XME,PrevDayBreakout_D1,2025-06-12T00:00:00-04:00,2025-06-13 04:00:00+00:00,64.28,63.76,65.32,2025-06-13 04:00:00+00:00,65.32,TP hit,win,2.0,1.0,64.28,0.52,0.0
XME_PrevDayBreakout_D1_2,XME,PrevDayBreakout_D1,2025-06-13T00:00:00-04:00,2025-06-16 04:00:00+00:00,66.22,63.79,71.08,2025-06-23 04:00:00+00:00,66.22,time stop scratch,scratch,0.0,1.0,66.22,2.43,2.0
EEM_MeanReversion_D1_2,EEM,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16 04:00:00+00:00,47.18,46.98,47.58,2025-06-17 04:00:00+00:00,46.98,SL hit,loss,-1.0,1.0,47.18,0.2,0.0
IEMG_MeanReversion_D1_2,IEMG,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16 04:00:00+00:00,58.735,58.575,59.055,2025-06-17 04:00:00+00:00,58.575,SL hit,loss,-1.0,1.0,58.735,0.16,0.0
XME_PrevDayBreakout_D1_3,XME,PrevDayBreakout_D1,2025-06-16T00:00:00-04:00,2025-06-17 04:00:00+00:00,66.465,64.28,70.835,2025-06-24 04:00:00+00:00,65.98,time stop loss,loss,-0.222,1.0,66.465,2.185,2.0
SMH_PrevDayBreakout_D1_3,SMH,PrevDayBreakout_D1,2025-06-16T00:00:00-04:00,2025-06-17 04:00:00+00:00,262.08,256.2,273.84,2025-06-24 04:00:00+00:00,271.58,time stop win,win,1.6156,1.0,262.08,5.88,0.0
KRE_PrevDayBreakout_D1_6,KRE,PrevDayBreakout_D1,2025-06-20T00:00:00-04:00,2025-06-23 04:00:00+00:00,56.395,55.585,58.015,2025-06-24 04:00:00+00:00,58.015,TP hit,win,2.0,1.0,56.395,0.81,0.0
IWM_PrevDayBreakout_D1_7,IWM,PrevDayBreakout_D1,2025-06-23T00:00:00-04:00,2025-06-24 04:00:00+00:00,213.32,208.47,223.02,2025-06-30 04:00:00+00:00,215.84,time stop win,win,0.5196,1.0,213.32,4.85,0.0
KRE_PrevDayBreakout_D1_7,KRE,PrevDayBreakout_D1,2025-06-23T00:00:00-04:00,2025-06-24 04:00:00+00:00,58.38,56.6,61.94,2025-06-30 04:00:00+00:00,59.44,time stop win,win,0.5955,1.0,58.38,1.78,0.0
XAR_TwoDayBreakout_D1_7,XAR,TwoDayBreakout_D1,2025-06-23T00:00:00-04:00,2025-06-24 04:00:00+00:00,200.39,196.8,207.57,2025-06-27 04:00:00+00:00,207.57,TP hit,win,2.0,1.0,200.39,3.59,0.0
KRE_PrevDayBreakout_D1_10,KRE,PrevDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27 04:00:00+00:00,59.68,57.87,63.3,2025-07-03 04:00:00+00:00,63.3,TP hit,win,2.0,1.0,59.68,1.81,2.0
XAR_TwoDayBreakout_D1_11,XAR,TwoDayBreakout_D1,2025-06-27T00:00:00-04:00,2025-06-30 04:00:00+00:00,211.08,201.44,230.36,2025-07-07 04:00:00+00:00,209.49,time stop loss,loss,-0.1649,1.0,211.08,9.64,2.0
SMH_PrevDayBreakout_D1_11,SMH,PrevDayBreakout_D1,2025-06-27T00:00:00-04:00,2025-06-30 04:00:00+00:00,279.26,275.03,287.72,2025-07-01 04:00:00+00:00,275.03,SL hit,loss,-1.0,1.0,279.26,4.23,1.6156
XAR_TwoDayBreakout_D1_12,XAR,TwoDayBreakout_D1,2025-06-30T00:00:00-04:00,2025-07-01 04:00:00+00:00,208.995,202.42,222.145,2025-07-08 04:00:00+00:00,208.155,time stop loss,loss,-0.1278,1.0,208.995,6.575,2.0
KRE_PrevDayBreakout_D1_14,KRE,PrevDayBreakout_D1,2025-07-02T00:00:00-04:00,2025-07-03 04:00:00+00:00,62.855,59.09,70.385,2025-07-10 04:00:00+00:00,63.55,time stop win,win,0.1846,1.0,62.855,3.765,1.51155
KRE_PrevDayBreakout_D1_15,KRE,PrevDayBreakout_D1,2025-07-03T00:00:00-04:00,2025-07-07 04:00:00+00:00,62.84,61.28,65.96,2025-07-11 04:00:00+00:00,62.9,time stop win,win,0.0385,1.0,62.84,1.56,1.60924
VTV_MeanReversion_D1_16,VTV,MeanReversion_D1,2025-07-07T00:00:00-04:00,2025-07-08 04:00:00+00:00,177.88,177.73,178.18,2025-07-08 04:00:00+00:00,178.18,TP hit,win,2.0,1.0,177.88,0.15,2.0
SMH_PrevDayBreakout_D1_17,SMH,PrevDayBreakout_D1,2025-07-08T00:00:00-04:00,2025-07-09 04:00:00+00:00,284.73,278.62,296.95,2025-07-15 04:00:00+00:00,290.845,time stop win,win,1.0008,1.0,284.73,6.11,0.03264
IWM_PrevDayBreakout_D1_18,IWM,PrevDayBreakout_D1,2025-07-09T00:00:00-04:00,2025-07-10 04:00:00+00:00,223.375,220.35,229.425,2025-07-15 04:00:00+00:00,220.35,SL hit,loss,-1.0,1.0,223.375,3.025,1.1325
IWM_PrevDayBreakout_D1_19,IWM,PrevDayBreakout_D1,2025-07-10T00:00:00-04:00,2025-07-11 04:00:00+00:00,223.18,221.12,227.3,2025-07-14 04:00:00+00:00,221.12,SL hit,loss,-1.0,1.0,223.18,2.06,0.97622
XAR_TwoDayBreakout_D1_20,XAR,TwoDayBreakout_D1,2025-07-11T00:00:00-04:00,2025-07-14 04:00:00+00:00,211.635,208.34,218.225,2025-07-17 04:00:00+00:00,218.225,TP hit,win,2.0,1.0,211.635,3.295,0.9625
KRE_PrevDayBreakout_D1_21,KRE,PrevDayBreakout_D1,2025-07-14T00:00:00-04:00,2025-07-15 04:00:00+00:00,63.435,62.74,64.825,2025-07-15 04:00:00+00:00,62.74,SL hit,loss,-1.0,1.0,63.435,0.695,1.113663
XAR_TwoDayBreakout_D1_21,XAR,TwoDayBreakout_D1,2025-07-14T00:00:00-04:00,2025-07-15 04:00:00+00:00,216.06,208.34,231.5,2025-07-21 04:00:00+00:00,219.4,time stop win,win,0.4326,1.0,216.06,7.72,1.032529
