signal_id,symbol,setup_name,entry_ts,exit_ts,entry_price,stop_price,r_multiple,rank_score,skip_reason,open_slots,open_exposure_usd,open_risk_usd,entry_notional_usd,risk_to_stop_usd
IEMG_MeanReversion_D1_1,IEMG,MeanReversion_D1,2025-06-16 04:00:00+00:00,2025-06-17 04:00:00+00:00,58.735,58.575,-1.0,0.0,no_slot,1,47.18,0.2,58.735,0.16
IWD_MeanReversion_D1_1,IWD,MeanReversion_D1,2025-06-16 04:00:00+00:00,2025-06-17 04:00:00+00:00,190.405,189.41,-1.0,0.0,no_slot,1,47.18,0.2,190.405,0.995
QQQ_MeanReversion_D1_1,QQQ,MeanReversion_D1,2025-06-16 04:00:00+00:00,2025-06-20 04:00:00+00:00,530.57,525.75,-1.0,0.0,no_slot,1,47.18,0.2,530.57,4.82
XLI_MeanReversion_D1_1,XLI,MeanReversion_D1,2025-06-16 04:00:00+00:00,2025-06-18 04:00:00+00:00,143.545,142.23,-1.0,0.0,no_slot,1,47.18,0.2,143.545,1.315
XME_PrevDayBreakout_D1_1,XME,PrevDayBreakout_D1,2025-06-16 04:00:00+00:00,2025-06-23 04:00:00+00:00,66.22,63.79,0.0,0.0,no_slot,1,47.18,0.2,66.22,2.43
XME_PrevDayBreakout_D1_2,XME,PrevDayBreakout_D1,2025-06-17 04:00:00+00:00,2025-06-24 04:00:00+00:00,66.465,64.28,-0.222,0.0,no_slot,1,262.08,5.88,66.465,2.185
XME_TwoDayBreakout_D1_2,XME,TwoDayBreakout_D1,2025-06-17 04:00:00+00:00,2025-06-24 04:00:00+00:00,66.465,63.79,-0.1813,0.0,no_slot,1,262.08,5.88,66.465,2.675
QQQ_MeanReversion_D1_3,QQQ,MeanReversion_D1,2025-06-18 04:00:00+00:00,2025-06-18 04:00:00+00:00,530.0,527.96,-1.0,0.0,no_slot,1,262.08,5.88,530.0,2.04
VTV_MeanReversion_D1_3,VTV,MeanReversion_D1,2025-06-18 04:00:00+00:00,2025-06-18 04:00:00+00:00,172.815,172.64,2.0,0.0,no_slot,1,262.08,5.88,172.815,0.175
XLI_MeanReversion_D1_3,XLI,MeanReversion_D1,2025-06-18 04:00:00+00:00,2025-06-18 04:00:00+00:00,142.605,142.36,-1.0,0.0,no_slot,1,262.08,5.88,142.605,0.245
